date;hdi;rank
2021-12-31;0.921;21
2020-12-31;0.920;21
2019-12-31;0.930;18
2018-12-31;0.927;18
2017-12-31;0.924;18
2016-12-31;0.922;19
2015-12-31;0.920;18
2014-12-31;0.919;18
2013-12-31;0.917;17
2012-12-31;0.916;13
2011-12-31;0.913;14
2010-12-31;0.911;12
2009-12-31;0.908;11
2008-12-31;0.906;12
2007-12-31;0.906;14
2006-12-31;0.904;13
2005-12-31;0.900;13
2004-12-31;0.898;12
2003-12-31;0.895;9
2002-12-31;0.893;9
2001-12-31;0.892;9
2000-12-31;0.891;5
1999-12-31;0.889;4
1998-12-31;0.893;3
1997-12-31;0.890;1
1996-12-31;0.887;1
1995-12-31;0.885;1
1994-12-31;0.884;1
1993-12-31;0.880;1
1992-12-31;0.878;1
1991-12-31;0.873;1
1990-12-31;0.872;1
