date,Unemployment Rate,Annual Change, 
1990-12-31,5.6
1991-12-31,6.8
1992-12-31,7.5,0.7
1993-12-31,6.9,-0.6
1994-12-31,6.12,-0.78
1995-12-31,5.65,-0.47
1996-12-31,5.45,-0.2
1997-12-31,5,-0.45
1998-12-31,4.51,-0.49
1999-12-31,4.22,-0.29
2000-12-31,3.99,-0.23
2001-12-31,4.73,0.74
2002-12-31,5.78,1.05
2003-12-31,5.99,0.21
2004-12-31,5.53,-0.46
2005-12-31,5.08,-0.45
2006-12-31,4.62,-0.46
2007-12-31,4.62,0
2008-12-31,5.78,1.16
2009-12-31,9.25,3.47
2010-12-31,9.63,0.38
2011-12-31,8.95,-0.68
2012-12-31,8.07,-0.88
2013-12-31,7.37,-0.7
2014-12-31,6.17,-1.2
2015-12-31,5.28,-0.89
2016-12-31,4.87,-0.41
2017-12-31,4.36,-0.51
2018-12-31,3.9,-0.46
2019-12-31,3.67,-0.23
2020-12-31,8.05,4.38
2021-12-31,5.35,-2.7
2022-12-31,3.611,-1.74
